Id,SalePrice
1461,123394.4120103058
1462,164357.9097169057
1463,180324.41132926033
1464,182134.53660801137
1465,184920.2162081755
1466,173011.3860904116
1467,182818.01738334371
1468,169361.46497044328
1469,193942.34419079087
1470,124553.56614224735
1471,204530.7150405943
1472,97763.67110729027
1473,97982.04917801832
1474,153851.26099707725
1475,117442.05476939506
1476,382390.57633505395
1477,260932.32747539255
1478,291370.47252761817
1479,275534.12312459183
1480,476561.72562416765
1481,344862.5909047745
1482,198029.59742155182
1483,174658.33907993557
1484,167006.69458597634
1485,172379.77121046258
1486,192377.91408399868
1487,360030.66428454424
1488,235323.06051285047
1489,194153.56879137494
1490,225759.1484400449
1491,189985.9085913746
1492,92259.64886179427
1493,182588.66515953004
1494,294429.21641682123
1495,309955.26702921814
1496,231450.35174210908
1497,183654.98481352982
1498,155694.64538583558
1499,160522.67946444525
1500,153503.72634945257
1501,170018.84492461037
1502,152648.70057475395
1503,297971.83449954656
1504,230463.87248707566
1505,216816.47830104595
1506,193920.22548883202
1507,232981.50247376403
1508,201557.04700853056
1509,152401.08096706064
1510,145545.193329638
1511,137111.43586335555
1512,177946.17241881666
1513,144247.86853146265
1514,180290.4681071212
1515,195670.14705759526
1516,159374.69808702063
1517,158336.97769054255
1518,141898.41515592337
1519,221521.59610319164
1520,133319.4600984144
1521,133431.98575622204
1522,169393.57617299756
1523,115594.58639345644
1524,123090.91272342042
1525,126720.10805881598
1526,123609.78204824631
1527,112745.58870348246
1528,129442.69649519025
1529,146385.6576390089
1530,178172.62676616764
1531,113309.88614416656
1532,110134.03515275527
1533,150785.0225553641
1534,120831.80925797274
1535,155982.25926605833
1536,113318.40369272443
1537,78997.41014407577
1538,166821.7466514896
1539,187302.73986034785
1540,106350.56365483445
1541,140857.39807951
1542,141292.81180127154
1543,229051.38874872043
1544,78835.15201240582
1545,109147.69332883312
1546,126061.56673442884
1547,129702.73971404726
1548,125433.09375022571
1549,109624.17071729983
1550,131294.4802125225
1551,116163.96474437614
1552,138336.11858165936
1553,146963.24313515905
1554,114332.02835006875
1555,170060.9810931685
1556,75201.2930067908
1557,112662.19357813559
1558,100825.60478881447
1559,80921.3309773486
1560,146079.31418976875
1561,167225.03689341384
1562,128592.63538647216
1563,122742.9105411512
1564,152786.90801498655
1565,135829.42586774708
1566,224763.5163157129
1567,81521.97308951918
1568,222480.9238449017
1569,146453.17785240215
1570,131148.65074247733
1571,112369.4756063894
1572,146220.94031141268
